question_id,persona,facts_preserved_binary__Annotator_1,narrative_realism_likert__Annotator_1,register_matches_persona__Annotator_1,facts_preserved_binary__Annotator_2,narrative_realism_likert__Annotator_2,register_matches_persona__Annotator_2,facts_preserved_binary__Annotator_3,narrative_realism_likert__Annotator_3,register_matches_persona__Annotator_3
MQ_0438,alpha (pα) — high health literacy,1,5,1,1,5,1,1,5,1
MQ_0438,beta (pβ) — socioeconomic barrier,1,5,1,1,5,1,1,5,1
MQ_0438,gamma (pγ) — cultural/somatic register,1,4,1,1,5,1,1,5,1
MQ_0398,alpha (pα) — high health literacy,1,4,1,1,5,1,1,5,1
MQ_0398,beta (pβ) — socioeconomic barrier,1,4,1,1,5,1,1,5,1
MQ_0398,gamma (pγ) — cultural/somatic register,1,2,1,1,5,1,1,4,1
MQ_0990,alpha (pα) — high health literacy,1,2,1,1,5,1,1,5,1
MQ_0990,beta (pβ) — socioeconomic barrier,1,4,1,1,5,1,1,5,1
MQ_0990,gamma (pγ) — cultural/somatic register,1,2,1,1,5,1,1,3,1
MQ_0127,alpha (pα) — high health literacy,1,3,1,1,5,1,1,5,1
MQ_0127,beta (pβ) — socioeconomic barrier,1,4,1,1,5,1,1,3,1
MQ_0127,gamma (pγ) — cultural/somatic register,1,3,1,1,5,1,1,5,1
MQ_0261,alpha (pα) — high health literacy,1,4,1,1,5,1,1,5,1
MQ_0261,beta (pβ) — socioeconomic barrier,1,4,1,1,5,1,1,3,1
MQ_0261,gamma (pγ) — cultural/somatic register,1,3,1,1,5,1,1,4,1
MQ_0709,alpha (pα) — high health literacy,1,5,1,1,5,1,1,5,1
MQ_0709,beta (pβ) — socioeconomic barrier,1,5,1,1,5,1,1,5,1
MQ_0709,gamma (pγ) — cultural/somatic register,1,4,1,1,5,1,1,4,1
MQ_0466,alpha (pα) — high health literacy,1,5,1,1,5,1,1,5,1
MQ_0466,beta (pβ) — socioeconomic barrier,1,4,1,1,5,1,1,5,1
MQ_0466,gamma (pγ) — cultural/somatic register,1,3,1,1,5,1,1,4,1
MQ_0723,alpha (pα) — high health literacy,1,5,1,1,5,1,1,5,1
MQ_0723,beta (pβ) — socioeconomic barrier,1,4,1,1,5,1,1,5,1
MQ_0723,gamma (pγ) — cultural/somatic register,1,3,1,1,5,1,1,4,1
MQ_0355,alpha (pα) — high health literacy,1,5,1,1,5,1,1,5,1
MQ_0355,beta (pβ) — socioeconomic barrier,1,3,1,1,5,1,1,4,1
MQ_0355,gamma (pγ) — cultural/somatic register,1,3,1,1,5,1,1,3,1
MQ_0850,alpha (pα) — high health literacy,1,4,1,1,5,1,1,5,1
MQ_0850,beta (pβ) — socioeconomic barrier,1,4,1,1,5,1,1,5,1
MQ_0850,gamma (pγ) — cultural/somatic register,1,2,1,1,5,1,1,3,1
MQ_0761,alpha (pα) — high health literacy,1,5,1,1,5,1,1,5,1
